Requirement,Cost,Benefit
R0,56,72
R1,60,69
R2,52,76
R3,16,40
R4,55,79
R5,63,89
R6,56,58
R7,30,21
R8,98,70
R9,53,48
R10,46,35
R11,13,50
R12,63,24
R13,72,29
R14,91,91
R15,27,71
R16,5,46
R17,52,8
R18,37,30
R19,29,85
R20,73,51
R21,66,36
R22,26,47
R23,21,97
R24,94,22
R25,20,16
R26,39,82
R27,96,79
R28,51,38
R29,1,70
R30,85,59
R31,5,62
R32,26,46
R33,49,44
R34,68,32
R35,10,39
R36,51,69
R37,25,27
R38,82,54
R39,30,40
R40,74,27
R41,59,40
R42,3,35
R43,16,60
R44,31,89
R45,12,16
R46,89,96
R47,45,6
R48,80,55
R49,67,86
R50,54,46
R51,5,21
R52,10,8
R53,76,40
R54,65,91
R55,28,0
R56,49,42
R57,76,69
R58,47,73
R59,86,5
R60,99,58
R61,99,39
R62,97,45
R63,96,11
R64,80,79
R65,96,10
R66,61,39
R67,95,95
R68,37,82
R69,70,90
R70,2,74
R71,26,64
R72,11,22
R73,52,47
R74,54,18
R75,8,45
R76,84,12
R77,21,67
R78,22,46
R79,79,75
R80,46,95
R81,40,27
R82,9,3
R83,5,84
R84,81,3
R85,7,76
R86,51,18
R87,37,41
R88,73,29
R89,87,74
R90,31,24
R91,1,32
R92,69,55
R93,78,7
R94,86,10
R95,40,73
R96,13,10
R97,37,11
R98,76,86
R99,97,89
R100,85,69
R101,51,1
R102,95,82
R103,16,23
R104,44,49
R105,74,83
R106,62,33
R107,0,32
R108,14,46
R109,39,17
R110,38,16
R111,20,89
R112,86,44
R113,47,78
R114,80,85
R115,19,88
R116,1,31
R117,72,60
R118,11,88
R119,100,48
R120,53,20
R121,84,65
R122,59,86
R123,74,35
R124,45,94
R125,55,34
R126,80,72
R127,74,0
R128,77,15
R129,24,28
R130,7,92
R131,50,78
R132,47,13
R133,7,53
R134,25,8
R135,15,70
R136,8,26
R137,4,44
R138,56,8
R139,36,52
R140,47,11
R141,6,80
R142,22,96
R143,59,81
R144,61,22
R145,66,2
R146,67,62
R147,2,33
R148,77,36
R149,19,46
R150,90,90
R151,0,78
R152,94,4
R153,36,26
R154,45,49
R155,58,99
R156,65,17
R157,18,68
R158,11,63
R159,47,78
R160,39,23
R161,30,72
R162,3,96
R163,78,31
R164,20,47
R165,68,92
R166,25,62
R167,17,12
R168,83,87
R169,100,2
R170,46,51
R171,43,32
R172,71,25
R173,36,97
R174,18,71
R175,42,12
R176,62,51
R177,80,33
R178,10,23
R179,88,78
R180,88,12
R181,77,20
R182,86,72
R183,14,69
R184,79,20
R185,95,93
R186,79,19
R187,9,45
R188,32,52
R189,30,76
R190,2,66
R191,79,62
R192,25,20
R193,51,11
R194,76,62
R195,27,50
R196,94,93
R197,23,35
R198,17,90
R199,47,25
R200,79,22
R201,23,45
R202,83,23
R203,30,6
R204,54,81
R205,44,40
R206,35,30
R207,30,23
R208,19,73
R209,46,37
R210,84,35
R211,47,46
R212,46,61
R213,12,3
R214,42,44
R215,53,62
R216,96,48
R217,47,39
R218,1,16
R219,51,31
R220,16,67
R221,18,98
R222,100,92
R223,71,24
R224,94,83
R225,99,20
R226,93,18
R227,3,52
R228,33,32
R229,15,20
R230,2,67
R231,41,5
R232,66,90
R233,44,13
R234,35,63
R235,91,59
R236,94,18
R237,7,86
R238,15,60
R239,72,20
R240,68,94
R241,48,9
R242,58,24
R243,21,17
R244,65,68
R245,89,37
R246,29,87
R247,11,100
R248,87,26
R249,43,64
R250,13,24
R251,95,99
R252,67,96
R253,97,53
R254,5,91
R255,18,41
R256,64,63
R257,56,45
R258,3,56
R259,23,45
R260,17,63
R261,90,30
R262,4,82
R263,87,60
R264,76,70
R265,14,66
R266,88,41
R267,77,14
R268,75,99
